"scenario","year","lcm","area"
"6: NBS with biomass crops",2025,"Coastal",388057.875
"6: NBS with biomass crops",2025,"Coniferous woodland",1823938.375
"6: NBS with biomass crops",2025,"Fen, marsh & swamp",236751.5
"6: NBS with biomass crops",2025,"Freshwater",312152.1875
"6: NBS with biomass crops",2025,"Heather",2387286.5
"6: NBS with biomass crops",2025,"Improved grassland",6628035.375
"6: NBS with biomass crops",2025,"Improved grassland (agroforestry)",124989.5625
"6: NBS with biomass crops",2025,"Inland rock",126968.75
"6: NBS with biomass crops",2025,"Paludiculture",30733.9375
"6: NBS with biomass crops",2025,"Saltmarsh",73546.4375
"6: NBS with biomass crops",2025,"Semi-natural grassland",2129920
"6: NBS with biomass crops",2025,"Semi-natural wood pasture",54973.8125
"6: NBS with biomass crops",2025,"Urban and suburban",1837519.875
"6: NBS with biomass crops",2030,"Arable and horticulture",5184942.5
"6: NBS with biomass crops",2030,"Arable and horticulture (agroforestry)",109963.75
"6: NBS with biomass crops",2030,"Biomass crops",34989.125
"6: NBS with biomass crops",2030,"Bog",1743431.8125
"6: NBS with biomass crops",2030,"Broadleaved woodland",1872656.5
"6: NBS with biomass crops",2030,"Coastal",388057.875
"6: NBS with biomass crops",2030,"Coniferous woodland",1916138.625
"6: NBS with biomass crops",2030,"Fen, marsh & swamp",316653.5625
"6: NBS with biomass crops",2030,"Freshwater",312084.875
"6: NBS with biomass crops",2030,"Heather",2116119.3125
"6: NBS with biomass crops",2030,"Improved grassland",6199164.375
"6: NBS with biomass crops",2030,"Improved grassland (agroforestry)",249970.1875
"6: NBS with biomass crops",2030,"Inland rock",126968.75
"6: NBS with biomass crops",2030,"Paludiculture",61397.75
"6: NBS with biomass crops",2030,"Saltmarsh",76020.4375
"6: NBS with biomass crops",2030,"Semi-natural grassland",2003463.1875
"6: NBS with biomass crops",2030,"Semi-natural wood pasture",109942.0625
"6: NBS with biomass crops",2030,"Urban and suburban",1903348.4375
"6: NBS with biomass crops",2035,"Arable and horticulture",4950336.875
"6: NBS with biomass crops",2035,"Arable and horticulture (agroforestry)",164935.625
"6: NBS with biomass crops",2035,"Biomass crops",84996.125
"6: NBS with biomass crops",2035,"Bog",2064316.625
"6: NBS with biomass crops",2035,"Broadleaved woodland",2113326.3125
"6: NBS with biomass crops",2035,"Coastal",388057.875
"6: NBS with biomass crops",2035,"Coniferous woodland",2048347.0625
"6: NBS with biomass crops",2035,"Fen, marsh & swamp",395833.3125
"6: NBS with biomass crops",2035,"Freshwater",312039.875
"6: NBS with biomass crops",2035,"Heather",1863057.1875
"6: NBS with biomass crops",2035,"Improved grassland",5662978.1875
"6: NBS with biomass crops",2035,"Improved grassland (agroforestry)",374962.25
"6: NBS with biomass crops",2035,"Inland rock",126968.75
"6: NBS with biomass crops",2035,"Paludiculture",93051.75
"6: NBS with biomass crops",2035,"Saltmarsh",78522.5625
"6: NBS with biomass crops",2035,"Semi-natural grassland",1869533.0625
"6: NBS with biomass crops",2035,"Semi-natural wood pasture",164919.5625
"6: NBS with biomass crops",2035,"Urban and suburban",1969130.125
"6: NBS with biomass crops",2040,"Arable and horticulture",4685264.875
"6: NBS with biomass crops",2040,"Arable and horticulture (agroforestry)",219921.125
"6: NBS with biomass crops",2040,"Biomass crops",134988.375
"6: NBS with biomass crops",2040,"Bog",2377738.4375
"6: NBS with biomass crops",2040,"Broadleaved woodland",2385113.5625
"6: NBS with biomass crops",2040,"Coastal",388057.875
"6: NBS with biomass crops",2040,"Coniferous woodland",2194691.1875
"6: NBS with biomass crops",2040,"Fen, marsh & swamp",460598.625
"6: NBS with biomass crops",2040,"Freshwater",311836.75
"6: NBS with biomass crops",2040,"Heather",1646289.8125
"6: NBS with biomass crops",2040,"Improved grassland",5080003.8125
"6: NBS with biomass crops",2040,"Improved grassland (agroforestry)",499952.1875
"6: NBS with biomass crops",2040,"Inland rock",126968.75
"6: NBS with biomass crops",2040,"Paludiculture",124826.25
"6: NBS with biomass crops",2040,"Saltmarsh",80824
"6: NBS with biomass crops",2040,"Semi-natural grassland",1753387.1875
"6: NBS with biomass crops",2040,"Semi-natural wood pasture",219876.125
"6: NBS with biomass crops",2040,"Urban and suburban",2034974.1875
"6: NBS with biomass crops",2045,"Arable and horticulture",4420222.9375
"6: NBS with biomass crops",2045,"Arable and horticulture (agroforestry)",274898.375
"6: NBS with biomass crops",2045,"Biomass crops",184986.1875
"6: NBS with biomass crops",2045,"Bog",2643206.5
"6: NBS with biomass crops",2045,"Broadleaved woodland",2656852.6875
"6: NBS with biomass crops",2045,"Coastal",388057.875
"6: NBS with biomass crops",2045,"Coniferous woodland",2340817.25
"6: NBS with biomass crops",2045,"Fen, marsh & swamp",517750.1875
"6: NBS with biomass crops",2045,"Freshwater",311805.5
"6: NBS with biomass crops",2045,"Heather",1443347.875
"6: NBS with biomass crops",2045,"Improved grassland",4542117.6875
"6: NBS with biomass crops",2045,"Improved grassland (agroforestry)",624929.625
"6: NBS with biomass crops",2045,"Inland rock",126968.6875
"6: NBS with biomass crops",2045,"Paludiculture",124996.375
"6: NBS with biomass crops",2045,"Saltmarsh",83103.6875
"6: NBS with biomass crops",2045,"Semi-natural grassland",1665603.0625
"6: NBS with biomass crops",2045,"Semi-natural wood pasture",274838.4375
"6: NBS with biomass crops",2045,"Urban and suburban",2100810.1875
"6: NBS with biomass crops",2050,"Arable and horticulture",4116419.875
"6: NBS with biomass crops",2050,"Arable and horticulture (agroforestry)",329892.9375
"6: NBS with biomass crops",2050,"Biomass crops",234989.5
"6: NBS with biomass crops",2050,"Bog",2675609.9375
"6: NBS with biomass crops",2050,"Broadleaved woodland",2928571.9375
"6: NBS with biomass crops",2050,"Coastal",388057.875
"6: NBS with biomass crops",2050,"Coniferous woodland",2487497.8125
"6: NBS with biomass crops",2050,"Fen, marsh & swamp",523004.9375
"6: NBS with biomass crops",2050,"Freshwater",311788.125
"6: NBS with biomass crops",2050,"Heather",1441377.875
"6: NBS with biomass crops",2050,"Improved grassland",4017627.5
"6: NBS with biomass crops",2050,"Improved grassland (agroforestry)",749889.1875
"6: NBS with biomass crops",2050,"Inland rock",126968.6875
"6: NBS with biomass crops",2050,"Paludiculture",124996.375
"6: NBS with biomass crops",2050,"Saltmarsh",85742.375
"6: NBS with biomass crops",2050,"Semi-natural grassland",1686386.375
"6: NBS with biomass crops",2050,"Semi-natural wood pasture",329822
"6: NBS with biomass crops",2050,"Urban and suburban",2166669.8125
"7: NBS with organic farming",2015,"Arable and horticulture",5546511.5625
"7: NBS with organic farming",2015,"Bog",1089384.9375
"7: NBS with organic farming",2015,"Broadleaved woodland",1614906.1875
"7: NBS with organic farming",2015,"Coastal",388057.875
"7: NBS with organic farming",2015,"Coniferous woodland",1766968.9375
"7: NBS with organic farming",2015,"Fen, marsh & swamp",166634.625
"7: NBS with organic farming",2015,"Freshwater",312163.0625
"7: NBS with organic farming",2015,"Heather",2694729
"7: NBS with organic farming",2015,"Improved grassland",7004817
"7: NBS with organic farming",2015,"Inland rock",126968.75
"7: NBS with organic farming",2015,"Saltmarsh",71372.875
"7: NBS with organic farming",2015,"Semi-natural grassland",2236996.6875
"7: NBS with organic farming",2015,"Urban and suburban",1705801.625
"7: NBS with organic farming",2020,"Arable and horticulture",5525213.75
"7: NBS with organic farming",2020,"Bog",1089384.9375
"7: NBS with organic farming",2020,"Broadleaved woodland",1614906.1875
"7: NBS with organic farming",2020,"Coastal",388057.875
"7: NBS with organic farming",2020,"Coniferous woodland",1766968.9375
"7: NBS with organic farming",2020,"Fen, marsh & swamp",166634.625
"7: NBS with organic farming",2020,"Freshwater",312163.0625
"7: NBS with organic farming",2020,"Heather",2694729
"7: NBS with organic farming",2020,"Improved grassland",6960252.875
"7: NBS with organic farming",2020,"Inland rock",126968.75
"7: NBS with organic farming",2020,"Saltmarsh",71372.875
"7: NBS with organic farming",2020,"Semi-natural grassland",2236996.6875
"7: NBS with organic farming",2020,"Urban and suburban",1771663.5625
"7: NBS with organic farming",2025,"Arable and horticulture",4960538.3125
"7: NBS with organic farming",2025,"Arable and horticulture (agroforestry)",54883
"7: NBS with organic farming",2025,"Arable and horticulture (organic and agroforestry)",97.8125
"7: NBS with organic farming",2025,"Arable and horticulture (organic)",424320.0625
"7: NBS with organic farming",2025,"Bog",1420965.125
"7: NBS with organic farming",2025,"Broadleaved woodland",1709634.625
"7: NBS with organic farming",2025,"Coastal",388057.875
"7: NBS with organic farming",2025,"Coniferous woodland",1823938.375
"7: NBS with organic farming",2025,"Fen, marsh & swamp",236751.5
"7: NBS with organic farming",2025,"Freshwater",312152.1875
"7: NBS with organic farming",2025,"Heather",2387286.5
"7: NBS with organic farming",2025,"Improved grassland",6155011.5625
"7: NBS with organic farming",2025,"Improved grassland (agroforestry)",122638.4375
"7: NBS with organic farming",2025,"Improved grassland (organic and agroforestry)",2351.125
"7: NBS with organic farming",2025,"Improved grassland (organic)",473023.8125
"7: NBS with organic farming",2025,"Inland rock",126968.75
"7: NBS with organic farming",2025,"Paludiculture",30733.9375
"7: NBS with organic farming",2025,"Saltmarsh",73546.4375
"7: NBS with organic farming",2025,"Semi-natural grassland",2129920
"7: NBS with organic farming",2025,"Semi-natural wood pasture",54973.8125
"7: NBS with organic farming",2025,"Urban and suburban",1837519.875
"7: NBS with organic farming",2030,"Arable and horticulture",4375705.25
"7: NBS with organic farming",2030,"Arable and horticulture (agroforestry)",109362.1875
"7: NBS with organic farming",2030,"Arable and horticulture (organic and agroforestry)",601.5625
"7: NBS with organic farming",2030,"Arable and horticulture (organic)",844226.375
"7: NBS with organic farming",2030,"Bog",1743431.8125
"7: NBS with organic farming",2030,"Broadleaved woodland",1872656.5
"7: NBS with organic farming",2030,"Coastal",388057.875
"7: NBS with organic farming",2030,"Coniferous woodland",1916138.625
"7: NBS with organic farming",2030,"Fen, marsh & swamp",316653.5625
"7: NBS with organic farming",2030,"Freshwater",312084.875
"7: NBS with organic farming",2030,"Heather",2116119.3125
"7: NBS with organic farming",2030,"Improved grassland",5254473.3125
"7: NBS with organic farming",2030,"Improved grassland (agroforestry)",239661.75
"7: NBS with organic farming",2030,"Improved grassland (organic and agroforestry)",10308.4375
"7: NBS with organic farming",2030,"Improved grassland (organic)",944691.0625
"7: NBS with organic farming",2030,"Inland rock",126968.75
"7: NBS with organic farming",2030,"Paludiculture",61397.75
"7: NBS with organic farming",2030,"Saltmarsh",76020.4375
"7: NBS with organic farming",2030,"Semi-natural grassland",2003463.1875
"7: NBS with organic farming",2030,"Semi-natural wood pasture",109942.0625
"7: NBS with organic farming",2030,"Urban and suburban",1903348.4375
"7: NBS with organic farming",2035,"Arable and horticulture",3773540.1875
"7: NBS with organic farming",2035,"Arable and horticulture (agroforestry)",163646.25
"7: NBS with organic farming",2035,"Arable and horticulture (organic and agroforestry)",1289.375
"7: NBS with organic farming",2035,"Arable and horticulture (organic)",1261792.8125
"7: NBS with organic farming",2035,"Bog",2064316.625
"7: NBS with organic farming",2035,"Broadleaved woodland",2113326.3125
"7: NBS with organic farming",2035,"Coastal",388057.875
"7: NBS with organic farming",2035,"Coniferous woodland",2048347.0625
"7: NBS with organic farming",2035,"Fen, marsh & swamp",395833.3125
"7: NBS with organic farming",2035,"Freshwater",312039.875
"7: NBS with organic farming",2035,"Heather",1863057.1875
"7: NBS with organic farming",2035,"Improved grassland",4249516.25
"7: NBS with organic farming",2035,"Improved grassland (agroforestry)",351600.125
"7: NBS with organic farming",2035,"Improved grassland (organic and agroforestry)",23362.125
"7: NBS with organic farming",2035,"Improved grassland (organic)",1413461.9375
"7: NBS with organic farming",2035,"Inland rock",126968.75
"7: NBS with organic farming",2035,"Paludiculture",93051.75
"7: NBS with organic farming",2035,"Saltmarsh",78522.5625
"7: NBS with organic farming",2035,"Semi-natural grassland",1869533.0625
"7: NBS with organic farming",2035,"Semi-natural wood pasture",164919.5625
"7: NBS with organic farming",2035,"Urban and suburban",1969130.125
"7: NBS with organic farming",2040,"Arable and horticulture",3612078.9375
"7: NBS with organic farming",2040,"Arable and horticulture (agroforestry)",205005.1875
"7: NBS with organic farming",2040,"Arable and horticulture (organic and agroforestry)",14915.9375
"7: NBS with organic farming",2040,"Arable and horticulture (organic)",1208174.3125
"7: NBS with organic farming",2040,"Bog",2377738.4375
"7: NBS with organic farming",2040,"Broadleaved woodland",2385113.5625
"7: NBS with organic farming",2040,"Coastal",388057.875
"7: NBS with organic farming",2040,"Coniferous woodland",2194691.1875
"7: NBS with organic farming",2040,"Fen, marsh & swamp",460598.625
"7: NBS with organic farming",2040,"Freshwater",311836.75
"7: NBS with organic farming",2040,"Heather",1646289.8125
"7: NBS with organic farming",2040,"Improved grassland",3812767.5
"7: NBS with organic farming",2040,"Improved grassland (agroforestry)",445259.375
"7: NBS with organic farming",2040,"Improved grassland (organic and agroforestry)",54692.8125
"7: NBS with organic farming",2040,"Improved grassland (organic)",1267236.3125
"7: NBS with organic farming",2040,"Inland rock",126968.75
"7: NBS with organic farming",2040,"Paludiculture",124826.25
"7: NBS with organic farming",2040,"Saltmarsh",80824
"7: NBS with organic farming",2040,"Semi-natural grassland",1753387.1875
"7: NBS with organic farming",2040,"Semi-natural wood pasture",219876.125
"7: NBS with organic farming",2040,"Urban and suburban",2034974.1875
"7: NBS with organic farming",2045,"Arable and horticulture",3451025.5625
"7: NBS with organic farming",2045,"Arable and horticulture (agroforestry)",246315.3125
"7: NBS with organic farming",2045,"Arable and horticulture (organic and agroforestry)",28583.0625
"7: NBS with organic farming",2045,"Arable and horticulture (organic)",1154183.5625
"7: NBS with organic farming",2045,"Bog",2643206.5
"7: NBS with organic farming",2045,"Broadleaved woodland",2656852.6875
"7: NBS with organic farming",2045,"Coastal",388057.875
"7: NBS with organic farming",2045,"Coniferous woodland",2340817.25
"7: NBS with organic farming",2045,"Fen, marsh & swamp",517750.1875
"7: NBS with organic farming",2045,"Freshwater",311805.5
"7: NBS with organic farming",2045,"Heather",1443347.875
"7: NBS with organic farming",2045,"Improved grassland",3410496.75
"7: NBS with organic farming",2045,"Improved grassland (agroforestry)",539138.6875
"7: NBS with organic farming",2045,"Improved grassland (organic and agroforestry)",85790.9375
"7: NBS with organic farming",2045,"Improved grassland (organic)",1131620.9375
"7: NBS with organic farming",2045,"Inland rock",126968.6875
"7: NBS with organic farming",2045,"Paludiculture",124996.375
"7: NBS with organic farming",2045,"Saltmarsh",83103.6875
"7: NBS with organic farming",2045,"Semi-natural grassland",1665603.0625
"7: NBS with organic farming",2045,"Semi-natural wood pasture",274838.4375
"7: NBS with organic farming",2045,"Urban and suburban",2100810.1875
"7: NBS with organic farming",2050,"Arable and horticulture",3260944.5
"7: NBS with organic farming",2050,"Arable and horticulture (agroforestry)",287528.375
"7: NBS with organic farming",2050,"Arable and horticulture (organic and agroforestry)",42364.5625
"7: NBS with organic farming",2050,"Arable and horticulture (organic)",1090464.875
"7: NBS with organic farming",2050,"Bog",2675609.9375
"7: NBS with organic farming",2050,"Broadleaved woodland",2928571.9375
"7: NBS with organic farming",2050,"Coastal",388057.875
"7: NBS with organic farming",2050,"Coniferous woodland",2487497.8125
"7: NBS with organic farming",2050,"Fen, marsh & swamp",523004.9375
"7: NBS with organic farming",2050,"Freshwater",311788.125
"7: NBS with organic farming",2050,"Heather",1441377.875
"7: NBS with organic farming",2050,"Improved grassland",3016289
"7: NBS with organic farming",2050,"Improved grassland (agroforestry)",633164.8125
"7: NBS with organic farming",2050,"Improved grassland (organic and agroforestry)",116724.375
"7: NBS with organic farming",2050,"Improved grassland (organic)",1001338.5
"7: NBS with organic farming",2050,"Inland rock",126968.6875
"7: NBS with organic farming",2050,"Paludiculture",124996.375
"7: NBS with organic farming",2050,"Saltmarsh",85742.375
"7: NBS with organic farming",2050,"Semi-natural grassland",1686386.375
"7: NBS with organic farming",2050,"Semi-natural wood pasture",329822
"7: NBS with organic farming",2050,"Urban and suburban",2166669.8125
"8: NBS extra",2015,"Arable and horticulture",5546511.5625
"8: NBS extra",2015,"Bog",1089384.9375
"8: NBS extra",2015,"Broadleaved woodland",1614906.1875
"8: NBS extra",2015,"Coastal",388057.875
"8: NBS extra",2015,"Coniferous woodland",1766968.9375
"8: NBS extra",2015,"Fen, marsh & swamp",166634.625
"8: NBS extra",2015,"Freshwater",312163.0625
"8: NBS extra",2015,"Heather",2694729
"8: NBS extra",2015,"Improved grassland",7004817
"8: NBS extra",2015,"Inland rock",126968.75
"8: NBS extra",2015,"Saltmarsh",71372.875
"8: NBS extra",2015,"Semi-natural grassland",2236996.6875
"8: NBS extra",2015,"Urban and suburban",1705801.625
"8: NBS extra",2020,"Arable and horticulture",5525213.75
"8: NBS extra",2020,"Bog",1089384.9375
"8: NBS extra",2020,"Broadleaved woodland",1614906.1875
"8: NBS extra",2020,"Coastal",388057.875
"8: NBS extra",2020,"Coniferous woodland",1766968.9375
"8: NBS extra",2020,"Fen, marsh & swamp",166634.625
"8: NBS extra",2020,"Freshwater",312163.0625
"8: NBS extra",2020,"Heather",2694729
"8: NBS extra",2020,"Improved grassland",6960252.875
"8: NBS extra",2020,"Inland rock",126968.75
"8: NBS extra",2020,"Saltmarsh",71372.875
"8: NBS extra",2020,"Semi-natural grassland",2236996.6875
"8: NBS extra",2020,"Urban and suburban",1771663.5625
"8: NBS extra",2025,"Arable and horticulture",5369889.25
"8: NBS extra",2025,"Arable and horticulture (agroforestry)",54974.875
"8: NBS extra",2025,"Bog",1420965.125
"8: NBS extra",2025,"Broadleaved woodland",1709634.625
"8: NBS extra",2025,"Coastal",388057.875
"8: NBS extra",2025,"Coniferous woodland",1823938.375
"8: NBS extra",2025,"Fen, marsh & swamp",236751.5
"8: NBS extra",2025,"Freshwater",312152.1875
"8: NBS extra",2025,"Heather",2383126.875
"8: NBS extra",2025,"Improved grassland",6583845.625
"8: NBS extra",2025,"Improved grassland (agroforestry)",124989.5625
"8: NBS extra",2025,"Inland rock",126968.75
"8: NBS extra",2025,"Paludiculture",30733.9375
"8: NBS extra",2025,"Saltmarsh",73546.4375
"8: NBS extra",2025,"Semi-natural grassland",2164922.5
"8: NBS extra",2025,"Semi-natural wood pasture",83295.75
"8: NBS extra",2025,"Urban and suburban",1837519.875
"8: NBS extra",2030,"Arable and horticulture",5189964.25
"8: NBS extra",2030,"Arable and horticulture (agroforestry)",109963.375
"8: NBS extra",2030,"Bog",1743431.8125
"8: NBS extra",2030,"Broadleaved woodland",1872656.5
"8: NBS extra",2030,"Coastal",388057.875
"8: NBS extra",2030,"Coniferous woodland",1916138.625
"8: NBS extra",2030,"Fen, marsh & swamp",316653.5625
"8: NBS extra",2030,"Freshwater",312084.875
"8: NBS extra",2030,"Heather",2106624.6875
"8: NBS extra",2030,"Improved grassland",6110783.625
"8: NBS extra",2030,"Improved grassland (agroforestry)",249968.375
"8: NBS extra",2030,"Inland rock",126968.75
"8: NBS extra",2030,"Paludiculture",61397.75
"8: NBS extra",2030,"Saltmarsh",76020.4375
"8: NBS extra",2030,"Semi-natural grassland",2074650.5
"8: NBS extra",2030,"Semi-natural wood pasture",166599.6875
"8: NBS extra",2030,"Urban and suburban",1903348.4375
"8: NBS extra",2035,"Arable and horticulture",4990325.8125
"8: NBS extra",2035,"Arable and horticulture (agroforestry)",164957.625
"8: NBS extra",2035,"Bog",2064316.625
"8: NBS extra",2035,"Broadleaved woodland",2113326.3125
"8: NBS extra",2035,"Coastal",388057.875
"8: NBS extra",2035,"Coniferous woodland",2048347.0625
"8: NBS extra",2035,"Fen, marsh & swamp",395833.3125
"8: NBS extra",2035,"Freshwater",312039.875
"8: NBS extra",2035,"Heather",1856072.75
"8: NBS extra",2035,"Improved grassland",5510407.75
"8: NBS extra",2035,"Improved grassland (agroforestry)",374937.5625
"8: NBS extra",2035,"Inland rock",126968.75
"8: NBS extra",2035,"Paludiculture",93051.75
"8: NBS extra",2035,"Saltmarsh",78522.5625
"8: NBS extra",2035,"Semi-natural grassland",1989121.625
"8: NBS extra",2035,"Semi-natural wood pasture",249895.75
"8: NBS extra",2035,"Urban and suburban",1969130.125
"8: NBS extra",2040,"Arable and horticulture",4760267.625
"8: NBS extra",2040,"Arable and horticulture (agroforestry)",219930.75
"8: NBS extra",2040,"Bog",2377738.4375
"8: NBS extra",2040,"Broadleaved woodland",2385113.5625
"8: NBS extra",2040,"Coastal",388057.875
"8: NBS extra",2040,"Coniferous woodland",2194691.1875
"8: NBS extra",2040,"Fen, marsh & swamp",460598.625
"8: NBS extra",2040,"Freshwater",311836.75
"8: NBS extra",2040,"Heather",1644535.5
"8: NBS extra",2040,"Improved grassland",4856097.4375
"8: NBS extra",2040,"Improved grassland (agroforestry)",499897.25
"8: NBS extra",2040,"Inland rock",126968.75
"8: NBS extra",2040,"Paludiculture",124826.25
"8: NBS extra",2040,"Saltmarsh",80824
"8: NBS extra",2040,"Semi-natural grassland",1925734.75
"8: NBS extra",2040,"Semi-natural wood pasture",333220.1875
"8: NBS extra",2040,"Urban and suburban",2034974.1875
"8: NBS extra",2045,"Arable and horticulture",4530199.75
"8: NBS extra",2045,"Arable and horticulture (agroforestry)",274909
"8: NBS extra",2045,"Bog",2643206.5
"8: NBS extra",2045,"Broadleaved woodland",2656852.6875
"8: NBS extra",2045,"Coastal",388057.875
"8: NBS extra",2045,"Coniferous woodland",2340817.25
"8: NBS extra",2045,"Fen, marsh & swamp",517750.1875
"8: NBS extra",2045,"Freshwater",311805.5
"8: NBS extra",2045,"Heather",1442393.9375
"8: NBS extra",2045,"Improved grassland",4254695.1875
"8: NBS extra",2045,"Improved grassland (agroforestry)",624871.1875
"8: NBS extra",2045,"Inland rock",126968.6875
"8: NBS extra",2045,"Paludiculture",124996.375
"8: NBS extra",2045,"Saltmarsh",83103.6875
"8: NBS extra",2045,"Semi-natural grassland",1887345.625
"8: NBS extra",2045,"Semi-natural wood pasture",416529.5
"8: NBS extra",2045,"Urban and suburban",2100810.1875
"8: NBS extra",2050,"Arable and horticulture",4261419.0625
"8: NBS extra",2050,"Arable and horticulture (agroforestry)",329877.875
"8: NBS extra",2050,"Bog",2675609.9375
"8: NBS extra",2050,"Broadleaved woodland",2928571.9375
"8: NBS extra",2050,"Coastal",388057.875
"8: NBS extra",2050,"Coniferous woodland",2487497.8125
"8: NBS extra",2050,"Fen, marsh & swamp",523004.9375
"8: NBS extra",2050,"Freshwater",311788.125
"8: NBS extra",2050,"Heather",1440961.6875
"8: NBS extra",2050,"Improved grassland",3668971
"8: NBS extra",2050,"Improved grassland (agroforestry)",749833.9375
"8: NBS extra",2050,"Inland rock",126968.6875
"8: NBS extra",2050,"Paludiculture",124996.375
"8: NBS extra",2050,"Saltmarsh",85742.375
"8: NBS extra",2050,"Semi-natural grassland",1955494.1875
"8: NBS extra",2050,"Semi-natural wood pasture",499847.5
"8: NBS extra",2050,"Urban and suburban",2166669.8125
